Squad,Comp,Player,Nation,Pos,Age,Born,MP,Minutes_Played,Mn_per_MP,Mins_Per_90,Starts,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,Goals,Assists,GoalsAssistsCombined,NonPKG,PK,PKatt,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,Gls_Per90,Ast_Per90,G+A_Per90,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,Shots,Shots_on_Target,SoT_percent,G_per_Sh,G_per_SoT,Avg_Shot_Dist,FK_Standard,G_minus_xG_Expected,np:G_minus_xG_Expected,Passes_Completed,Passes_Attempted,Passes_Cmp_percent,PrgDist_Total,Passes_Cmp_Short,Passes_Att_Short,Passes_Cmp_percent_Short,Passes_Cmp_Medium,Passes_Att_Medium,Passes_Cmp_percent_Medium,Passes_Cmp_Long,Passes_Att_Long,Passes_Cmp_percent_Long,xA_Expected,A_minus_xAG_Expected,Key_Passes,Final_Third,PPA,CrsPA,TB_Pass,Crs_Pass,Offside_Passes,Blocked_Passes,Shot_Creating_Actions,SCA_90,TakeOnTo_Shot,FoulTo_Shot,DefAction_Shot,GoalCreatingAction,GCA90,TakeOn_Goal,Fld_Goal,DefAction_Goal,Tackles,Tackles_Won,Def_3rd_Tackles,Mid_3rd_Tackles,Att_3rd_Tackles,Tkl_percent_won,Lost_Challenges,Blocks,Sh_Blocked,Passes_Blocked,Interceptions,Clearances,ErrorsLead_ToShot,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,TotDist_Carries,PrgDist_Carries,Miscontrolls,Dispossessed,2CrdY,Fouls_Comitted,Fouls_Drawn,Offsides,Crosses,PK_Won,PK_Conceded,Own_Goals,Loose_Ball_Recoveries,Won_Aerial,Lost_Aerial,Won_percent_Aerial,Goals_Against_GK,SoT_Against_GK,Saves_GK,Save_percent_GK,Clean_Sheets_GK,CS_percent_GK,PK_Faced_GK,PK_Allowed_GK,PK_Saved_GK,PK_Missed_GK,Save_percent_Penalty_GK,FK_Goals_GK,CornerKick_Goals_GK,OG_GK,PSxG_GK,PSxG_per_SoT_GK,PSxG+_per_minus_GK,LaunchedPassesCompleted_GK,LaunchedAttempted_GK,Cmp_percent_Launched_GK,Att_Passes_GK,Throws_GK,Launch_percent_Passes_GK,AvgLen_Passes_GK,Att_Goal_Kicks_GK,AvgLen_GoalKick_GK,CrossesFaced_GK,CrossedStopped_GK,CrossedStopped_Perc_GK,OPA_Sweeper_GK,OPA_per_90_Sweeper_GK,AvgDist_Sweeper_GK
Ajaccio,Ligue 1,Mathieu Coutadeur,FRA,MF,36,1986,27,1947,72,21.6,22,0.78,14,36,-22,0,0,0,0,0,0,2,0,0.1,1,1.1,20,110,0,0,0,0,0,0,0.05,0.05,4,0,0,0,,29.1,0,-0.1,-0.1,1006,1197,84,4490,464,526,88.2,386,449,86,106,150,70.7,1.4,-1,10,100,7,1,6,5,5,15,26,1.2,1,0,0,1,0.05,0,0,0,23,13,13,10,0,28.6,20,19,3,16,19,21,0,14,5,35.7,6,42.9,4749,2011,19,8,0,6,13,0,5,0,0,0,150,9,13,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Ismael Diallo,CIV,DF,25,1997,28,2176,78,24.2,25,0.86,18,43,-25,0,0,0,0,0,0,9,1,0.3,0.6,0.8,36,70,0,0,0,0,0,0.01,0.02,0.03,3,0,0,0,,17.5,0,-0.3,-0.3,804,1078,74.6,5879,359,427,84.1,319,408,78.2,99,188,52.7,0.7,-0.6,9,73,8,4,4,35,3,25,17,0.7,0,1,0,0,0,0,0,0,46,33,35,9,2,55.6,28,26,12,14,30,46,1,34,14,41.2,14,41.2,4820,2213,35,10,0,41,33,1,35,0,2,0,166,26,24,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Moussa Djitte,SEN,FW,22,1999,6,136,23,1.5,1,0.5,0,3,-3,0,0,0,0,0,0,0,0,0.1,0,0.2,0,2,0,0,0,0,0,0.09,0.01,0.1,2,0,0,0,,23.3,0,-0.1,-0.1,24,32,75,43,14,16,87.5,7,11,63.6,1,2,50,0,0,1,3,1,0,0,0,0,1,2,1.31,0,0,0,0,0,0,0,0,1,0,0,0,1,50,1,0,0,0,0,1,0,4,0,0,2,50,206,38,8,2,0,4,3,0,0,0,0,0,5,5,6,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Oumar Gonzalez,CMR,DF,24,1998,30,2578,86,28.6,29,0.67,15,58,-43,0,0,0,0,0,0,10,0,1,0,1.1,12,54,0,0,0,0,0,0.04,0,0.04,11,3,27.3,0,0,11.1,0,-1,-1,899,1102,81.6,4963,271,332,81.6,513,565,90.8,94,172,54.7,0.2,0,1,29,1,0,1,3,1,5,4,0.14,0,0,0,0,0,0,0,0,51,28,34,13,4,62.2,14,32,11,21,52,82,0,15,6,40,5,33.3,5452,2707,20,10,0,45,44,3,3,0,3,0,157,63,46,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Ben Hamed Touré,CIV,FW,18,2003,4,209,52,2.3,2,1,0,4,-4,0,0,0,0,0,0,0,0,0.1,0,0.1,2,1,0,0,0,0,0,0.04,0,0.04,2,0,0,0,,28.5,0,-0.1,-0.1,28,36,77.8,55,16,20,80,11,13,84.6,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0.43,0,0,0,0,0,0,0,0,4,4,2,2,0,20,4,2,0,2,1,4,0,4,3,75,1,25,263,79,6,3,0,7,5,0,0,0,0,0,5,2,15,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Romain Hamouma,FRA,"FW,MF",35,1987,19,1079,57,12,14,0.63,12,25,-13,2,2,4,2,0,0,5,2,3,2.3,5.3,29,47,0.17,0.17,0.33,0.17,0.33,0.25,0.19,0.44,16,6,37.5,0.13,0.33,15.3,1,-1,-1,263,364,72.3,1204,118,144,81.9,98,134,73.1,15,33,45.5,1.5,-0.3,13,29,8,1,0,54,2,13,35,2.92,2,4,0,6,0.5,0,1,0,8,3,3,3,2,50,3,8,0,8,2,2,0,38,16,42.1,21,55.3,2325,918,38,14,2,18,15,4,54,2,0,0,33,12,18,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Mounaim El Idrissy,FRA,FW,23,1999,32,2497,78,27.7,30,0.69,19,46,-27,6,0,6,6,0,0,10,0,7.2,1,8.2,21,40,0.22,0,0.22,0.22,0.22,0.26,0.03,0.3,50,19,38,0.12,0.32,14.6,0,-1.2,-1.2,413,622,66.4,987,269,372,72.3,96,147,65.3,13,26,50,0.9,-1,13,33,9,1,1,20,5,20,42,1.52,0,15,1,2,0.07,0,1,0,32,19,5,20,7,27.8,26,22,0,22,13,20,0,27,11,40.7,12,44.4,3101,751,90,36,0,81,80,23,20,2,0,0,67,110,191,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Anthony Khelifa,FRA,DF,16,2005,2,10,5,0.1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,11,12,91.7,55,3,3,100,7,8,87.5,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,43,15,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Youssouf Koné,MLI,DF,27,1995,13,916,70,10.2,12,0.77,10,15,-5,0,0,0,0,0,0,4,0,0,0.1,0.1,14,23,0,0,0,0,0,0,0.01,0.01,1,1,100,0,0,27.6,0,0,0,322,426,75.6,2090,157,177,88.7,117,142,82.4,43,93,46.2,0.1,-0.1,1,22,3,2,0,27,1,7,6,0.59,0,0,1,0,0,0,0,0,28,19,24,4,0,72,7,9,2,7,12,32,1,19,8,42.1,4,21.1,1727,813,14,4,0,15,17,0,27,0,0,0,67,4,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Qazim Laçi,ALB,MF,26,1996,9,212,24,2.4,2,0.56,1,4,-3,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0,24,0,0,0,0,0,0.06,0.08,0.15,4,0,0,0,,30.4,1,-0.2,-0.2,111,142,78.2,691,44,55,80,43,50,86,21,31,67.7,0.4,-0.2,3,18,1,0,0,8,0,2,10,4.25,0,1,0,0,0,0,0,0,6,3,2,3,1,44.4,5,5,0,5,2,3,0,4,2,50,1,25,585,207,1,0,0,2,2,1,8,0,1,0,20,4,5,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Paolo Lebas,FRA,MF,19,2003,1,55,55,0.6,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,12,16,75,72,6,10,60,6,6,100,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,100,0,0,44,15,1,0,0,3,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Victor Lebas,POR,DF,17,2004,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Benjamin Leroy,FRA,GK,33,1989,32,2798,87,31.1,32,0.69,19,60,-41,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,533,875,60.9,15715,60,60,100,211,215,98.1,261,593,44,0.1,0,0,22,0,0,0,0,6,0,5,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,16,2,0,0,,0,,3273,1644,3,0,0,0,4,0,0,0,0,0,46,2,0,100,60,133,74,60.9,4,12.5,9,8,0,1,0,1,10,1,47.7,0.3,-11.3,213,522,40.8,657,77,52.4,38.5,212,52.1,389,18,4.6,54,1.74,16.9
Ajaccio,Ligue 1,Ruan Levine,BRA,"MF,FW",23,1999,3,24,8,0.3,0,0,0,2,-2,0,0,0,0,0,0,0,0,0.2,0.1,0.3,0,1,0,0,0,0,0,0.56,0.46,1.02,2,1,50,0,0,13.1,0,-0.2,-0.2,13,14,92.9,27,5,5,100,7,7,100,0,0,,0,-0.1,1,1,0,0,0,0,0,1,3,10.8,1,1,0,0,0,0,0,0,2,2,1,1,0,,0,1,0,1,2,0,0,2,2,100,0,0,103,39,2,2,0,2,1,0,0,0,0,0,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Thomas Mangani,FRA,MF,35,1987,26,1332,51,14.8,14,0.77,8,36,-28,1,1,2,0,1,2,4,1,2,1.9,2.3,9,92,0.07,0.07,0.14,0,0.07,0.14,0.13,0.26,9,0,0,0,,27.1,2,-1,-0.4,634,910,69.7,4783,224,294,76.2,271,355,76.3,120,222,54.1,2.1,-0.9,26,78,12,4,2,79,5,19,42,2.84,0,1,0,1,0.07,0,0,0,32,17,14,15,3,38.3,29,22,3,19,24,22,1,6,4,66.7,1,16.7,3045,1283,9,3,0,24,13,0,79,0,0,0,94,20,24,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Vincent Marchetti,FRA,MF,25,1997,31,2452,79,27.2,29,0.84,18,46,-28,0,2,2,0,0,0,7,0,2.3,1.6,4,66,143,0,0.07,0.07,0,0.07,0.09,0.06,0.15,37,9,24.3,0,0,22.8,1,-2.3,-2.3,837,1057,79.2,4323,383,454,84.4,318,381,83.5,87,136,64,2,0.4,15,107,24,0,11,6,4,31,52,1.91,2,3,0,9,0.33,0,1,0,55,26,29,19,7,36.8,43,23,3,20,19,31,0,79,45,57,27,34.2,6603,3350,50,39,0,29,36,1,6,1,0,0,168,5,13,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Fernand Mayembo,CGO,DF,26,1996,11,707,64,7.9,8,0.36,5,18,-13,0,0,0,0,0,0,1,0,1.2,0.1,1.2,2,11,0,0,0,0,0,0.15,0.01,0.16,4,0,0,0,,6.2,0,-1.2,-1.2,275,320,85.9,1472,91,102,89.2,145,160,90.6,36,53,67.9,0,-0.1,2,7,0,0,0,0,0,2,4,0.51,0,1,1,0,0,0,0,0,8,5,6,2,0,44.4,5,2,0,2,11,36,0,6,4,66.7,1,16.7,1301,630,4,1,0,9,15,0,0,1,0,0,50,15,5,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Bevic Moussiti-Oko,CGO,FW,27,1995,17,698,41,7.8,7,0.53,4,11,-7,1,0,1,1,0,0,1,0,1.8,0.8,2.7,10,10,0.13,0,0.13,0.13,0.13,0.24,0.11,0.35,20,7,35,0.05,0.14,12.6,0,-0.8,-0.8,90,163,55.2,235,52,82,63.4,23,50,46,5,10,50,0.4,-0.8,5,10,2,0,0,4,2,7,18,2.32,2,4,0,0,0,0,0,0,3,1,1,1,1,50,1,5,3,2,2,8,0,26,13,50,13,50,996,316,25,11,0,18,22,2,4,0,0,0,27,53,47,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Riad Nouri,FRA,"MF,FW",37,1985,33,1693,51,18.8,16,0.76,17,38,-21,1,1,2,1,0,1,3,0,2.4,2.2,3.8,33,39,0.05,0.05,0.11,0.05,0.11,0.13,0.12,0.24,16,4,25,0.06,0.25,16.4,0,-1.4,-0.6,425,627,67.8,2227,225,288,78.1,150,208,72.1,31,82,37.8,2.2,-1.2,25,33,14,12,0,86,5,27,40,2.13,0,2,0,1,0.05,0,0,0,21,12,7,10,4,41.4,17,8,1,7,15,11,0,38,13,34.2,22,57.9,3379,1223,30,18,0,16,15,7,86,0,0,0,84,13,17,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Mehdi Puch Herrantz,FRA,MF,18,2004,4,47,12,0.5,0,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,4,0,0,0,0,0,0,0.22,0.22,0,0,,,,,0,0,0,22,28,78.6,122,11,12,91.7,8,12,66.7,2,2,100,0,-0.1,2,2,1,0,0,0,0,0,3,5.63,1,0,0,0,0,0,0,0,2,2,0,1,1,50,1,1,0,1,3,0,0,1,1,100,0,0,143,62,3,2,0,1,1,0,0,0,0,0,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Ghjuvanni Quilichini,FRA,GK,19,2002,1,82,82,0.9,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,14,34,41.2,427,1,1,100,5,5,100,8,28,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,,0,,139,112,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,4,4,100,1,,0,0,0,0,,0,0,0,0.8,0.24,0.8,6,24,25,26,2,61.5,43.8,8,61,25,2,8,0,0,7.5
Ajaccio,Ligue 1,François-Joseph Sollacaro,FRA,GK,28,1994,6,540,90,6,6,0.57,3,15,-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,68,142,47.9,1580,11,11,100,27,30,90,28,99,28.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,2,0,0,,0,,578,322,0,0,0,0,0,0,0,0,0,0,6,0,0,,14,24,11,45.8,1,16.7,1,1,0,0,0,0,1,1,9.1,0.34,-3.9,19,87,21.8,102,11,56.9,40.7,40,48.2,93,6,6.5,6,1,11.5
Ajaccio,Ligue 1,Moussa Soumano,FRA,FW,17,2005,14,495,35,5.5,5,0.5,4,14,-10,1,0,1,1,0,0,3,0,0.5,0.3,0.8,5,1,0.18,0,0.18,0.18,0.18,0.1,0.05,0.15,6,2,33.3,0.17,0.5,17.5,0,0.5,0.5,43,67,64.2,74,30,40,75,8,12,66.7,1,3,33.3,0.4,-0.3,5,0,1,1,1,1,2,4,10,1.82,2,1,0,1,0.18,1,0,0,2,2,0,1,1,0,6,2,0,2,0,0,0,7,5,71.4,2,28.6,394,100,16,7,0,10,4,3,1,0,0,0,10,8,23,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Kevin Spadanuda,SUI,"MF,FW",25,1997,22,1063,48,11.8,13,0.32,3,25,-22,0,1,1,0,0,0,3,0,0.7,0.6,1.3,17,17,0,0.08,0.08,0,0.08,0.06,0.05,0.11,7,1,14.3,0,0,14.2,0,-0.7,-0.7,212,264,80.3,542,116,141,82.3,78,93,83.9,8,14,57.1,0.3,0.4,8,15,2,0,0,5,0,5,14,1.18,0,1,1,1,0.08,0,0,1,29,18,15,9,5,36.4,21,18,0,18,11,5,0,44,23,52.3,17,38.6,1971,758,29,21,0,20,21,1,5,0,0,0,65,5,18,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Tony Strata,FRA,"MF,DF",17,2004,3,138,46,1.5,1,1,1,4,-3,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0.02,0.02,0,0,,,,,0,0,0,29,37,78.4,124,14,14,100,11,14,78.6,2,7,28.6,0,0,1,1,0,0,0,0,0,0,1,0.65,0,0,0,0,0,0,0,0,4,3,4,0,0,80,1,2,0,2,1,7,0,0,0,,0,,170,105,1,0,0,3,1,0,0,0,0,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Yoann Touzghar,TUN,FW,35,1986,11,447,41,5,5,0.91,2,7,-5,0,0,0,0,0,0,0,1,0.2,0,0.3,3,7,0,0,0,0,0,0.05,0.01,0.06,3,0,0,0,,11.1,0,-0.2,-0.2,80,112,71.4,196,59,74,79.7,13,20,65,2,3,66.7,0.1,0,1,5,0,0,0,2,0,9,2,0.4,0,1,0,0,0,0,0,0,3,2,0,2,1,0,1,0,0,0,0,1,0,6,2,33.3,3,50,486,92,10,4,0,5,6,3,2,0,0,0,10,9,20,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
